date,Open,High,Low,OT,Adj Close,Volume
4/1/2020,341.25,342.75,333.5,334.75,334.75,151929
4/2/2020,335,343.25,333,333.5,333.5,151692
4/3/2020,334.5,338.5,328,330.75,330.75,158652
4/6/2020,329.75,331.75,325.5,327.75,327.75,111044
4/7/2020,328,335.5,328,331.5,331.5,157368
4/8/2020,332,334,328.25,330,330,151312
4/9/2020,330.75,333.5,328,331.75,331.75,169665
4/13/2020,332.25,334,326.5,331.5,331.5,147086
4/14/2020,331.25,332,325.75,326,326,191905
4/15/2020,326,326.75,317.5,319.25,319.25,161437
4/16/2020,318.75,323,317.75,319.75,319.75,136583
4/17/2020,319.75,325.5,319.5,322.25,322.25,99361
4/20/2020,322.5,323.25,313.5,314.25,314.25,150677
4/21/2020,314.25,316.25,301,309.25,309.25,197926
4/22/2020,310,320.25,308.25,317.5,317.5,146968
4/23/2020,317,323.5,315,319.25,319.25,136849
4/24/2020,319.25,320.75,312,315.75,315.75,113476
4/27/2020,315,315.75,304.25,305.5,305.5,108694
4/28/2020,305,308.5,301.25,302.75,302.75,138104
4/29/2020,302.75,308.75,300.25,304.5,304.5,121804
4/30/2020,305.25,313,303.5,311.5,311.5,11086
5/1/2020,311,311.5,308,311.5,311.5,3512
5/4/2020,309.5,310.75,305.5,310.75,310.75,2622
5/5/2020,310.5,314.75,310.5,313,313,867
5/6/2020,315,315,311,311.75,311.75,522
5/7/2020,313.5,318,313.25,316,316,1076
5/8/2020,317.75,321.75,317.5,319,319,1065
5/11/2020,320,322.25,318,318.5,318.5,333
5/12/2020,318.75,324.5,312.75,323.75,323.75,274
5/13/2020,323.5,323.5,320,320.25,320.25,91
5/14/2020,320.25,320.25,320.25,320.25,320.25,107147
5/15/2020,317.75,320.5,316.75,319.25,319.25,101614
5/18/2020,320,322,318,320.75,320.75,99372
5/19/2020,320.75,325.5,320.5,321.25,321.25,126375
5/20/2020,321.25,321.5,317.25,319.5,319.5,154473
5/21/2020,319,320.25,316.25,317.75,317.75,115119
5/22/2020,317.75,319,316,318,318,97188
5/26/2020,316.75,323,316.5,319,319,145175
5/27/2020,320,321.75,319.25,320.5,320.5,78423
5/28/2020,320.25,330.75,319.5,327.5,327.5,246973
5/29/2020,327.5,329.5,323.25,325.75,325.75,192310
6/1/2020,325.5,327.75,319.25,323.25,323.25,151319
6/2/2020,323.5,325.25,322,324.25,324.25,130469
6/3/2020,324.25,324.5,321.25,324,324,128010
6/4/2020,324.25,329.5,324,329,329,155612
6/5/2020,328.75,332.5,328.25,331.25,331.25,215912
6/8/2020,333.5,334.75,331,333.75,333.75,206335
6/9/2020,332.25,334,326.75,327.5,327.5,253631
6/10/2020,327.25,328,324.25,326.25,326.25,243286
6/11/2020,326,331,325.25,329.75,329.75,272975
6/12/2020,329.5,333,328.25,330,330,236621
6/15/2020,329.25,330,325.5,329.25,329.25,170741
6/16/2020,331.75,334.5,328,329,329,229095
6/17/2020,328,331.25,325,330.25,330.25,225643
6/18/2020,329.75,333.75,328.75,331,331,201444
6/19/2020,329.75,333.75,327.5,332.5,332.5,170567
6/22/2020,332,332.25,328,328.25,328.25,134480
6/23/2020,327.5,327.5,321.25,325,325,185863
6/24/2020,324.5,329,323.75,324.25,324.25,180307
6/25/2020,323.5,324.25,315,317.25,317.25,194687
6/26/2020,317,319.75,313.5,317,317,216581
6/29/2020,316.75,326.5,316,326.25,326.25,150216
6/30/2020,325.25,342,323.75,338.5,338.5,21411
7/1/2020,338.5,351.25,337.5,348.25,348.25,4582
7/2/2020,347.5,350.25,342.25,342.5,342.5,2491
7/6/2020,348.25,349,345.25,346.5,346.5,2094
7/7/2020,347.5,347.5,341.75,345,345,1273
7/8/2020,343.5,348.5,341,348.25,348.25,352
7/9/2020,349,356.5,348.25,351.25,351.25,495
7/10/2020,350.25,352,340,340.5,340.5,806
7/13/2020,337.25,337.25,332,334,334,437
7/14/2020,334,336.5,324.5,334.75,334.75,112416
7/15/2020,326,328.75,322.75,326.25,326.25,101702
7/16/2020,326,333.25,326,330.25,330.25,109531
7/17/2020,330.25,334.75,330.25,333,333,83693
7/20/2020,333,333.5,326,328.25,328.25,105214
7/21/2020,327.75,327.75,322,322.75,322.75,132248
7/22/2020,323,328,322.25,327.5,327.5,122910
7/23/2020,327.25,329.5,325,328,328,92652
7/24/2020,328,329.75,325.5,326.25,326.25,144237
7/27/2020,325.25,327.5,323.25,325,325,96017
7/28/2020,323,323.5,320,320,320,110739
7/29/2020,320,321.5,315.25,315.5,315.5,136660
7/30/2020,315.5,319.25,315.25,315.75,315.75,120454
7/31/2020,315.75,317.5,314.5,316,316,77056
8/3/2020,315,318.25,315,317.5,317.5,83190
8/4/2020,316.5,316.75,308.25,308.25,308.25,161834
8/5/2020,309,311.25,309,311,311,103355
8/6/2020,310.5,312.75,309.5,311.25,311.25,106028
8/7/2020,311,311.75,307.25,307.75,307.75,124482
8/10/2020,307.5,311.75,307.5,310.5,310.5,167514
8/11/2020,311.25,315,310.25,311.5,311.5,170713
8/12/2020,311.25,315,308,314.5,314.5,209796
8/13/2020,315,327.5,314.75,325.25,325.25,317363
8/14/2020,324.5,325.25,321.5,324.5,324.5,160379
8/17/2020,327,331,326.5,331,331,111934
8/18/2020,330,332,325.75,327,327,130091
8/19/2020,326,327.25,323.5,325,325,87620
8/20/2020,324.25,325.75,320.75,324.5,324.5,92738
8/21/2020,324.75,327.75,324.25,327,327,134880
8/24/2020,328,332.5,327.5,331.75,331.75,126824
8/25/2020,335,341.5,334.75,340.75,340.75,147003
8/26/2020,340.25,341.25,337.25,340.5,340.5,89216
8/27/2020,340,344.75,339,344.25,344.25,123788
8/28/2020,343.25,347.75,340.75,346,346,94064
8/31/2020,348.75,353,346,348.5,348.5,11030
9/1/2020,347.75,350,343.25,349.5,349.5,3700
9/2/2020,349.25,350.5,345.25,349.75,349.75,2609
9/3/2020,349.75,350,343.75,344.5,344.5,1449
9/4/2020,344,349,343.5,347.25,347.25,1680
9/8/2020,348,353,346,351,351,874
9/9/2020,349.75,351.25,348.5,350,350,112
9/10/2020,349.75,357.75,349.75,357.25,357.25,665
9/11/2020,355.5,366,355.5,365,365,675
9/14/2020,366.75,366.75,357.5,357.5,357.5,137658
9/15/2020,369,369.5,365.25,366,366,133018
9/16/2020,365.5,372,361.75,371.75,371.75,158937
9/17/2020,371.5,377.25,368,375.25,375.25,235205
9/18/2020,374.25,379.25,373.25,378.5,378.5,191291
9/21/2020,377.5,378.25,368.25,369.75,369.75,209548
9/22/2020,369.75,373.25,365.75,369.25,369.25,159145
9/23/2020,368.25,370.25,365.75,368.5,368.5,122193
9/24/2020,368,368.25,363,363.5,363.5,152367
9/25/2020,363.25,367.5,363,365.25,365.25,130065
9/28/2020,364.25,369.75,360.5,366.75,366.75,162085
9/29/2020,366.75,367.75,361,364.75,364.75,137617
9/30/2020,364.25,382.75,362,379,379,337543
10/1/2020,379,385.5,378,382.75,382.75,216356
10/2/2020,381.5,383.25,377.25,379.75,379.75,164090
10/5/2020,378.75,382.5,377.75,379.5,379.5,119040
10/6/2020,378.5,389.25,378.5,385,385,213443
10/7/2020,384.5,392,384,388.75,388.75,186782
10/8/2020,389,394.5,386.5,387,387,202957
10/9/2020,387,398.25,386.5,395,395,280954
10/12/2020,395.5,399.25,387.25,389,389,193542
10/13/2020,389,392.75,388,391.25,391.25,130273
10/14/2020,391,397.5,388,396.5,396.5,183507
10/15/2020,396,404.25,393.5,403.75,403.75,245381
10/16/2020,403.25,409,401.75,402,402,226808
10/19/2020,401.75,406.75,400.75,405.25,405.25,167466
10/20/2020,404.25,409.75,403.5,408.75,408.75,179887
10/21/2020,408.25,415.25,407.75,413.75,413.75,216167
10/22/2020,413.75,419,410.75,416.25,416.25,196234
10/23/2020,415,420,414,419.25,419.25,168924
10/26/2020,419.25,419.75,412.75,417.75,417.75,206162
10/27/2020,416.75,422.25,415.5,416,416,207081
10/28/2020,415,415.25,400.5,401.5,401.5,320256
10/29/2020,401,404.25,393,398.5,398.5,279411
10/30/2020,397.25,400,394.25,398.5,398.5,209475
11/2/2020,396,397.75,393,397.5,397.5,165146
11/3/2020,396.25,403.25,395.25,401,401,184363
11/4/2020,400,406,396.5,405.25,405.25,176330
11/5/2020,405,417.25,404,409.25,409.25,245189
11/6/2020,409,412,405.75,406.75,406.75,200681
11/9/2020,405.75,410,401.75,407.5,407.5,204111
11/10/2020,407,427.25,406.25,423,423,355814
